time,trial,movement,cursor_idx,target_idx,prev_cursor_idx,is_error,movement_direction
4.696077917000366,0,1,11,12,10,0,right
5.502115499999491,0,2,10,12,11,1,left
6.304044000000431,0,3,9,12,10,1,left
7.10622054200212,0,4,8,12,9,1,left
7.918119292000483,0,5,9,12,8,0,right
8.720208834001824,0,6,10,12,9,0,right
9.526974917000189,0,7,9,12,10,1,left
10.335463667001022,0,8,10,12,9,0,right
11.137913500002469,0,9,11,12,10,0,right
11.93951137499971,0,10,12,12,11,0,right
15.259156792002614,1,1,11,12,10,0,right
16.060704209001415,1,2,12,12,11,0,right
19.379537667002296,2,1,9,8,10,0,left
20.18157174999942,2,2,8,8,9,0,left
23.505968625002424,3,1,11,12,10,0,right
24.309634291999828,3,2,12,12,11,0,right
27.64525920900269,4,1,9,8,10,0,left
28.451658709000185,4,2,8,8,9,0,left
31.77640829200027,5,1,9,13,10,1,left
32.58520404199953,5,2,10,13,9,0,right
33.39313150000089,5,3,11,13,10,0,right
34.202182209002785,5,4,12,13,11,0,right
35.00947366699984,5,5,13,13,12,0,right
38.35209662499983,6,1,11,11,10,0,right
41.673599749999994,7,1,9,9,10,0,left
45.00174791700192,8,1,9,9,10,0,left
48.334847834001266,9,1,11,11,10,0,right
51.660960249999334,10,1,9,12,10,1,left
52.464734791999945,10,2,10,12,9,0,right
53.27626579199932,10,3,11,12,10,0,right
54.07831129199985,10,4,10,12,11,1,left
54.88448679200155,10,5,11,12,10,0,right
55.68890412499968,10,6,12,12,11,0,right
59.00159391700072,11,1,11,11,10,0,right
62.336977709001076,12,1,11,12,10,0,right
63.14410462500018,12,2,12,12,11,0,right
66.47630933400069,13,1,11,11,10,0,right
69.81156841700067,14,1,11,12,10,0,right
70.61925983400215,14,2,12,12,11,0,right
73.95168566700158,15,1,11,9,10,1,right
74.75443833400277,15,2,10,9,11,0,left
75.56794204200196,15,3,9,9,10,0,left
78.90209650000179,16,1,9,7,10,0,left
79.72587095900235,16,2,8,7,9,0,left
80.53474645900133,16,3,7,7,8,0,left
83.91744754200045,17,1,9,9,10,0,left
87.26041658400209,18,1,11,11,10,0,right
90.59607583400066,19,1,9,7,10,0,left
91.40137937500185,19,2,8,7,9,0,left
92.20706862500083,19,3,7,7,8,0,left
95.54796670900032,20,1,11,8,10,1,right
96.36468979200072,20,2,12,8,11,1,right
97.17300674999933,20,3,11,8,12,0,left
97.98021420900113,20,4,10,8,11,0,left
98.78163083400068,20,5,9,8,10,0,left
99.59234958399975,20,6,8,8,9,0,left
102.93106287500268,21,1,11,12,10,0,right
103.73427645899937,21,2,12,12,11,0,right
107.07307058399965,22,1,9,9,10,0,left
110.41900254199936,23,1,11,11,10,0,right
113.76040587500029,24,1,11,12,10,0,right
114.56321095900057,24,2,12,12,11,0,right
117.89317079200191,25,1,9,8,10,0,left
118.69805654200172,25,2,8,8,9,0,left
122.02163250000012,26,1,11,13,10,0,right
122.8332286670011,26,2,12,13,11,0,right
123.64173708400267,26,3,13,13,12,0,right
126.98474512500252,27,1,9,12,10,1,left
127.79962287500166,27,2,10,12,9,0,right
128.61342087500088,27,3,9,12,10,1,left
129.42367591700167,27,4,8,12,9,1,left
130.2316152500025,27,5,9,12,8,0,right
131.03620991700154,27,6,10,12,9,0,right
131.83985345900146,27,7,11,12,10,0,right
132.64749229200243,27,8,12,12,11,0,right
135.98945537500185,28,1,9,8,10,0,left
136.7932928750015,28,2,10,8,9,1,right
137.5984907919992,28,3,9,8,10,0,left
138.409030625,28,4,10,8,9,1,right
139.21460025000124,28,5,9,8,10,0,left
140.01616412500152,28,6,8,8,9,0,left
143.36577983400275,29,1,11,12,10,0,right
144.17228774999967,29,2,12,12,11,0,right
