time,episode,cursor_idx,target_idx,is_error
2.008752290999837,0,9,11,1
4.010450750000018,0,10,11,0
6.018136915998184,0,11,11,0
8.029924457998277,1,12,12,0
10.035512582999218,2,13,10,1
12.041739457999938,2,12,10,0
14.05167954100034,2,11,10,0
16.055368833000102,2,10,10,0
18.062990415997774,3,9,9,0
20.072406749997754,4,10,11,0
22.089110624998284,4,11,11,0
24.0957207499996,5,10,8,0
26.096685958000307,5,11,8,1
28.098746374998882,5,10,8,0
30.10867166599928,5,9,8,0
32.11120474999916,5,8,8,0
34.118263083000784,6,9,11,0
36.12180029099909,6,10,11,0
38.135502916000405,6,11,11,0
40.15089345799788,7,10,13,1
42.15561079100007,7,11,13,0
44.16071408299831,7,12,13,0
46.16952087499885,7,13,13,0
48.1802456660007,8,14,16,0
50.18259795799895,8,15,16,0
52.18863637499817,8,14,16,1
54.19134333300099,8,15,16,0
56.196446333000495,8,16,16,0
58.19755087500016,9,15,15,0
